company,link,address,region,price,bedrooms,bathrooms,sqft,property_type,available,available_now,cats_allowed,dogs_allowed,maps_link,lat,lon,summary,pets_raw,scraped_at,parse_status
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/da72c809-2b58-421f-9b01-56c5f6633e4f,"1147 NW Knoxville , Bend, OR 97703",NW Bend,1850,1,1,616,?,2026-10-01,False,False,False,https://www.google.com/maps/search/?api=1&query=1147+NW+Knoxville+%2C+Bend%2C+OR+97703,44.0604823,-121.3373093,"Westside Bend ADU 1 Bedroom with Garage, A/C & Washer/Dryer!","Cats not allowed, Dogs not allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/173fa78f-b6fb-43cc-b130-f0416c7ebcf8,"115 NW Mt. Washington Dr., Bend, OR 97703",NW Bend,3495,3,2.5,1801,?,?,True,True,True,https://www.google.com/maps/search/?api=1&query=115+NW+Mt.+Washington+Dr.%2C+Bend%2C+OR+97703,44.0748807,-121.3194316,Beautiful Trailside home right near Northwest Crossing!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/b2568d19-a6c1-427c-ad72-d60c508a66af,"1157 SW Silver Lake Blvd, Bend, OR 97702",SW Bend,2695,3,2,1221,?,?,True,True,True,https://www.google.com/maps/search/?api=1&query=1157+SW+Silver+Lake+Blvd%2C+Bend%2C+OR+97702,44.0383222,-121.3123322,Beautiful 3 Bedroom Single Level home near Old Mill!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/0cad6105-1adb-41c4-975a-71e880d5a12e,"1455 NW 8th St. - #3, Bend, OR 97703",NW Bend,1795,1,1,547,?,2026-10-31,False,True,True,https://www.google.com/maps/search/?api=1&query=1455+NW+8th+St.+-+%233%2C+Bend%2C+OR+97703,44.0628649,-121.3234734,Modern apartment in NW Bend! A/C! W/S/G Included!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/7d123cab-8aa3-4c8c-8085-165bb050d3fa,"1590 NW Hartford, Bend, OR 97703",NW Bend,2395,3,1.5,1160,?,2026-10-01,False,True,True,https://www.google.com/maps/search/?api=1&query=1590+NW+Hartford%2C+Bend%2C+OR+97703,44.0576995,-121.3358936,West Side Home w/ Large yard & Close to Campus!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/514f5676-d232-460e-ae1e-af49fc61a268,"1622 Nw Awbrey Road, Bend, OR 97703",Bend,2895,3,1.5,1336,?,?,True,False,False,https://www.google.com/maps/search/?api=1&query=1622+Nw+Awbrey+Road%2C+Bend%2C+OR+97703,44.0643841,-121.3156210,"Classic Westside Cottage, Super Charming!","Cats not allowed, Dogs not allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/01c8ff75-b421-41d1-ae10-e2cd1b318716,"20030 Voltera Pl., Bend, OR 97702",Bend,2195,3,2,1748,?,2026-10-14,False,False,True,https://www.google.com/maps/search/?api=1&query=20030+Voltera+Pl.%2C+Bend%2C+OR+97702,44.0237365,-121.3219693,Single level renovated home close to the Old Mill!,"Cats not allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/4128f407-21d6-4a9f-af12-d042a2d1e13e,"20047 Beth Ave - #2, Bend, OR 97702",Bend,1795,2,2.5,1200,?,?,True,False,False,https://www.google.com/maps/search/?api=1&query=20047+Beth+Ave+-+%232%2C+Bend%2C+OR+97702,44.0268000,-121.3211400,New carpeting! Spacious townhome near the Old Mill!,"Cats not allowed, Dogs not allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/f831f8b6-ea0e-4092-9d8a-a63f0184274f,"20629 SE Gemstone Ave, Bend, OR 97702",SE Bend,2895,4,2.5,2230,?,?,True,True,True,https://www.google.com/maps/search/?api=1&query=20629+SE+Gemstone+Ave%2C+Bend%2C+OR+97702,44.0301331,-121.2962665,Modern 4 bedroom with den and neighborhood pool!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/6cb3974c-2138-4a70-a9b3-ed0435fdd2ef,"2301 NE Mary Rose Pl. - #2, Bend, OR 97701",NE Bend,1895,2,1,892,?,2026-10-14,False,False,True,https://www.google.com/maps/search/?api=1&query=2301+NE+Mary+Rose+Pl.+-+%232%2C+Bend%2C+OR+97701,44.0599510,-121.2681250,Single level duplex near St. Charles!,"Cats not allowed, Small dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/43b209f1-732f-421d-8294-ee2b3712b2cd,"3336 NW Celilo Ln. - #1, Bend, OR 97703",NW Bend,3400,2,2.5,1590,?,2026-10-01,False,False,False,https://www.google.com/maps/search/?api=1&query=3336+NW+Celilo+Ln.+-+%231%2C+Bend%2C+OR+97703,44.0660401,-121.3615694,Rare Discovery West Rental – Main Home with Optional Private ADU!,"Cats not allowed, Dogs not allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/96754646-8e98-4924-a3cb-f5fd5c0a43ba,"60958 Snowbrush Dr., Bend, OR 97702",Bend,2995,4,2.5,2452,?,2026-11-13,False,False,True,https://www.google.com/maps/search/?api=1&query=60958+Snowbrush+Dr.%2C+Bend%2C+OR+97702,44.0170751,-121.3482022,Beautiful Home in River Canyon Estates! Great Amenities!,"Cats not allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/51f8d069-45f6-43dd-8a70-e0075bfaf602,"61093 Larkspur Loop, Bend, OR 97702",Bend,2495,3,2,1222,?,2026-10-01,False,True,True,https://www.google.com/maps/search/?api=1&query=61093+Larkspur+Loop%2C+Bend%2C+OR+97702,44.0193796,-121.2931689,Freshly Updated 3-Bedroom Home in Bend!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/dd6ca8b5-4f07-44d3-8bcd-3f8faaa634d6,"61349 Elkhorn St., Bend, OR 97702",Bend,3200,5,3,2250,?,2026-10-09,False,True,True,https://www.google.com/maps/search/?api=1&query=61349+Elkhorn+St.%2C+Bend%2C+OR+97702,44.0276990,-121.3224053,Newer paint & flooring in this 5 bedroom home in Elkhorn Estates!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/44dc0d4a-68d5-4dc3-89d8-99f8cece535a,"61456 SE Brosterhous Rd., Bend, OR 97702",SE Bend,2495,4,2,2100,?,?,True,False,True,https://www.google.com/maps/search/?api=1&query=61456+SE+Brosterhous+Rd.%2C+Bend%2C+OR+97702,44.0193058,-121.2938338,Charming South Bend Home full of Character! RV Parking!,"Cats not allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/1f2ffdc3-3525-478d-8b35-fc6a67597fd2,"61545 Parrell Road - 7, Bend, OR 97702",Bend,1495,2,1.5,1000,?,2026-10-09,False,True,True,https://www.google.com/maps/search/?api=1&query=61545+Parrell+Road+-+7%2C+Bend%2C+OR+97702,44.0348338,-121.3045646,Available 10/09! Plan ahead! W/S/G Included!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/74e60d99-0869-4e2b-b9e2-fef6d9e0a02a,"63264 Peale St., Bend, OR 97701",Bend,2995,4,2.5,2288,?,?,True,True,True,https://www.google.com/maps/search/?api=1&query=63264+Peale+St.%2C+Bend%2C+OR+97701,?,?,Spacious Like New 4 Bedroom Home!,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/1a90777f-7c63-4bc2-ac9b-f68fa1bce277,"63266 Newhall Pl., Bend, OR 97703",Bend,2995,3,2,1609,?,?,True,True,True,https://www.google.com/maps/search/?api=1&query=63266+Newhall+Pl.%2C+Bend%2C+OR+97703,44.096949409441,-121.312786931644,Beautiful Single-Level Hayden Home with Private Yard & 3-Car Garage,"Cats allowed, Dogs allowed",2026-09-23T10:43:58,ok
A Superior Property Management,https://asuperior.appfolio.com/listings/detail/888f5626-8f8c-41c8-bc0c-dec0e111be7f,"762 NE Savannah Dr. , Bend, OR 97701",NE Bend,1895,2,2,1017,?,2026-10-16,False,False,True,https://www.google.com/maps/search/?api=1&query=762+NE+Savannah+Dr.+%2C+Bend%2C+OR+97701,44.0585327,-121.2741490,Single-Level 2 Bedroom Townhome Near Pilot Butte! W/S Included!,"Cats not allowed, Small dogs allowed",2026-09-23T10:43:58,ok
